singkatan,kata
sgtuny,segitunya
msih,masih
sjjurny,sejujurnya
skali,sekali
skrg,sekarang
slh,salah
sm,sama
smg,semoga
smga,semoga
smwnya,semuanya
stage,panggung
stj,setuju
stuju,setuju
sya,saya
tengsin,malu
cntik,cantik
tkt,takut
tpii,tapi
trus,terus
ttp,tetap
typo,salah tulis
with,dengan
woles,santai
4ever,selamanya
abg,remaja
abng,abang
abjat,abjad
adpokat,advokat
ae,saja
afdol,afdal
afwan,maaf
ajib,asyik
akikah,aku
akn,akan
akoo,aku
aktip,aktif
alaikit,aku suka
alibi,alasan
amajing,luar biasa
amat,banget
ambyar,hancur
ampibi,amfibi
ana,saya
ane,saya
anget,hangat
anggep,anggap
angus,hangus
apdate,update
app,aplikasi
apusin,hapus
arap,arab
artiin,mengartikan
asunt,kampungan
au,tidak tahu
awewe,wanita
b.indo,bahasa indonesia
bacod,banyak bicara
bagat,sangat
bagong,gendut
baheula,dahulu
bais,habis
baks,rokok
balsem,balsam
barle,berlebihan
basing,terserah
bat,banget
bbrpa,beberapa
bbrp,beberapa
bebski,kekasih
beceng,pistol
bedangklik,pelit
be'eng,sangat
begichu,begitu
begicyu,begitu
bego,bodoh
belis,iblis
benga,bodoh
bengad,banget
benong,banci
beol,buang air besar
beon,bodoh
bero,kawan
beroh,kawan
bgini,begini
bgm,bagaimana
bgmana,bagaimana
bgst,bangsat
bhkn,bahkan
bhw,bahwa
bhwa,bahwa
bicit,berisik
binggow,banget
bingits,banget
binun,bingung
bis,bus
biskec,tidak mau
bispak,pelacur
bisyar,pelacur
bleh,boleh
blendes,mabuk
bleweh,gondrong
bli,beli
blng,bilang
blom,belum
bloman,belum
bner,benar
bngn,bangun
bngun,bangun
boam,tidak peduli
boboan,tiduran
bocikam,kampungan
bodo amat,tidak peduli
boil,mobil
bokinan,pacaran
bomad,tidak peduli
bongot,bodoh
boong,bohong
botek ,monyet
brads,sahabat
brandal,berandal
bray,kawan
brewok,bewok
brisik,berisik
broh,kawan
brondong,lebih muda
bthkan,butuhkan
buacot,banyak bicara
bukber,buka bersama
cabe,cabai
cacu,lucu
caludih,kagum
cangkeman,cerewet
cangkeme,mulutnya
capek,lelah
ceam,cakep
celaloh,selalu
cemat,wanita
cemungud,semangat
cemungudh,semangat
cengli,adil
cepetan,lebih cepat
ciamik,bagus
ciang,siang
cicep,mencicipi
cidera,cedera
cikil,licik
cimed,pelit
cincay,mudah
cingku,hebat
cipi,ayah
ciut,takut
ciyus,serius
cocot,mulut
cofan,penggemar
coli,onani
collab,kolaborasi
copas,mencontek
cot,banyak bicara
cotba,banyak bicara
cowo,pria
cuz,karena
cpt,cepat
cpat,cepat
crita,cerita
ctw,cukup tahu
cubang,takut sekali
cucah,susah
cukstaw,cukup tahu
culs,culun
cuman,cuma
cumpah,sumpah
cumumut,semangat
cungguh,sungguh
cungkring,kurus tinggi
cupid,bodoh
curhat,curahan hati
cute,lucu
cyduk,ciduk
dak,tidak
danta,benar
daptar,daftar
dbthkan,dibutuhkan
dente,maksa
design,desain
diary,catatan
die,dia
dikempongin,ditipu
dikiro,dikira
dimandose,dimana
disco,disko
dmna,dimana
dn,dan
dokat,uang
dolo,dahulu
dongo,bodoh
donk,dong
dpat,dapat
dsr,dasar
dulu,dahulu
dulur,saudara
edan,gila
edun,gila
eiyke,saya
emesh,gemas
enelan,benaran
eneng,mual
engg,tidak
engga,tidak
engk,tidak
ente,anda
epektif,efektif
epektip,efektif
esde,sekolah dasar
ewe,wanita
eyke,saya
faham,paham
femau,bodoh
frustasi,frustrasi
fto,foto
fudul,ingin tahu
gabisa,tidak  bisa
gaes,kawan
gahol,gaul
gajetot,tidak jelas
gakebayang,tidak terbayang
gambleh,bicara
gambles,omong kosong
gapapa,tidak masalah
gapunya,tidak punya
gausah,tidak perlu
gawsah,tidak perlu
gbisa,tidak bisa
gece,cepat
gegara,akibat
gelo,gila
gemblek,bodoh
gemblung,bodoh
gemte,tidak bermutu
gendeng,gila
genjos,ganja
genk,kelompok
ghoblok,bodoh
gini,begini
gitu,begitu
gituh,begitu
gjls,tidak jelas
glendotan,manja
gmna,bagaimana
gmw,tidak ingin
gomblek,berpacaran
grgr,gara-gara
grundelan,kekecewaan
gtu,begitu
gujis,bohong
guwe,saya
gweh,aku
hapal,hafal
hbd,selamat ulang tahun
hbs,habis
homey,rumah
hp,gadget
iank,yang
idup,hidup
ihlas,ikhlas
ijin,izin
ijn,izin
iklas,ikhlas
indon,indonesia
intipin,mengintip
jadual,jadwal
jakbar,jakarta barat
jaksel,jakarta selatan
jaktim,jakarta timur
jaman,zaman
jand,jangan
jdwl,jadwal
jekardah,jakarta
jengri,ganja
jha,saja
jibang,jijik
jinguk,keparat
jkw,jokowi
jngan,jangan
julid,iri
jwa,jawa
kabeh,semua
kacung,pembantu
kajol,tidak jelas
kampring,kampungan
kamsud,maksud
kamsuli,kampungan
kamsute,maksudnya
kate,kata
karo,sama
kayaknya,sepertinya
kebon,kebun
kece,keren
keder,bingung
kekk,seperti
kemaleman,kemalaman
kemek,makan
kemli,pelacur
kemsi,makan siang
kenaps,kenapa
kenthok,gila
kentir,gila
kesyel,kesel
ketypu,tertipu
keyen,keren
kgn,kangen
kirek,anjing
kiro,kira
kka,kakak
klas,kelas
klepto,pencuri
kmaren,kemarin
kmren,kemarin
kmu,kamu
knakalan,kenakalan
kobam,mabuk
kocak,lucu
koe,kamu
koit,mati
kolem,kolam
koplak,bodoh
kreatip,kreatif
kreck,diperbaiki
kta,kita
kupret,sialan
kuy,ayo
laen,lain
lamo,lama
lau,anda
lbh,lebih
lemazh,lemas
lembap,lembab
lenje,maja
letoy,lemas
leyeh,bermalas-malasan
loeh,kamu
lsg,langsung
lucknut,laknat
lur,saudara
maap,maaf
maapin,maafkan
mablang,gila
maciy,masih
mainin,memainkan
make,pakai
mandose,mana
mangapa,mengapa
manjiw,mantap
markipul,mari kita pulang
mash,masih
masi,masih
masie,masih
maseih,masih
mat,selamat
maw,mau
medit,pelit
melalay,melancong
mele,mulu
membtuhkan,membutuhkan
membtuhkn,membutuhkan
menong,mana
mentri,menteri
menye,lemah
met,selamat
metong,mati
miapah,demi apa
mingkem,diam
mjd,menjadi
mksdnya,maksudnya
modom,tidur
mokong,bandel
mon maap,mohon maaf
move on,bangkit
msuk,masuk
muchomucho,cium
mudang,bohong
mujel,jelek
muns,munafik
mupeng,ingin
muyu,mulu
nadoyo,keren
naek,naik
nag,anak
najong,najis
nak,anak
narsum,narasumber
ndablek,idiot
nego,tawar
negri,negeri
nemang,pengamen
nga,tidak
ngafalin,menghafal
ngajak,mengajak
ngak,tidak
ngamau,tidak ingin
ngame,banyak bicara
ngandelin,mengandalkan
ngantuk,kantuk
nganu,itu
ngapa,mengapa
ngarep,berharap
ngatain,menghina
ngatur,mengatur
ngebacotin,membicarakan
ngebut,kencang
ngechat,menghubungi
ngedekem,menyendiri
ngefek,berarti
ngegas,emosi
ngehargain,menghargai
ngehina,menghina
ngehong,sialan
ngelarang,melarang
ngeluh,mengeluh
ngembik,sengsara
ngenji,gila
ngerecokin,mengganggu
ngerockshow,merokok
ngeroko,merokok
ngerokok,merokok
ngerp,berharap
ngetes,mengetes
ngetren,populer
nggapleki,menyebalkan
nggilani,jijik
nggomblek,berpacaran
ngibulin,membohongi
ngilang,menghilang
ngira,dikira
ngoceh,mengoceh
ngomel,marah
ngontrak,mengontrak
ngrasa,merasa
ngrecokin,mengganggu
ngucap,bicara
ngundang,mengundang
ngutip,mengutip
niker,tidur
nite,selamat malam
nnton,menonton
nob,payah
nomer,nomor
nongkri,nongkrong
nongol,muncul
ntr,nanti
nyakitin,membuat sakit
nyalip,menyalip
nyambung,menyambung
nyebelin,menyebalkan
nyempetin,menyempatkan
nyengir,tersenyum
nyesek,sesak
nyicip,mencicipi
nyiramin,menyiram
nyolong,mencuri
nyusahin,membuat susah
ojo,jangan
ojol,ojek online
oker,rokok
oon,bodoh
orng,orang
oyeng,goreng
pait,pahit
pakek,pakai
pan,kan
parno,takut
pdhl,padahal
pdkt,pendekatan
pebruari,februari
pekok,bodoh
pekrja,pekerja
pembokat,pembantu
pemprov,pemerintah provinsi
pen,ingin
pengen,ingin
perduli,peduli
petepete,patungan
pgi,pagi
pgn,ingin
pijet,pijat
pikir,fikir
pinter,pintar
pisu,ibu
pke,pakai
plesetin,dirubah
plintiran,pelintiran
plis,mohon
plokis,polisi
pnya,punya
pokis,pisau
poto,foto
prustasi,frustrasi
pundung,kesal
pura2,pura-pura
q,aku
qm,kamu
qta,kita
qu,aku
rajelas,tidak jelas
rapopo,tidak masalah
rede,siap
rempi,lemah
rese,menyebalkan
retwit,retweet
rikiplik,kuno
roha,santai
rokum,rumah
rp,rupiah
rt,retweet
sabi,bisa
saik,keren
saiko,gila
salome,pelacur
saltum,salah kostum
samaa,sama
samsara,sama
sangad,sangat
sange,nafsu
sarap,gila
saur,sahur
sayank,sayang
sbelum,sebelum
sbg,sebagai
sbgai,sebagai
sblm,sebelum
sblmny,sebelumnya
sblmnya,sebelumnya
sdg,sedang
sdgkan,sedangkan
seblmnya,sebelumnya
seblom,sebelum
segaban,banyak
sekatak,sedikit
sekseh,seksi
selek,marah
selon,santai
semok,seksi
sensi,sensitif
separo,separuh
serah,terserah
sesok,besok
setuja,setuju
sikit,sedikit
simsimi,sama-sama
sindang,sini
sist,kakak
skg,sekarang
skr,sekarang
skrng,sekarang
slalu,selalu
slengean,banyak tingkah
sllu,selalu
smlm,semalam
smpe,sampai
smua,semua
sndri,sendiri
sobat,sahabat
soblen,maling
soked,setan
sombonk,sombong
somplak,bodoh
sopo,siapa
sosmed,sosial media
spaneng,pusing
sprt,seperti
spupet,sepupu
srg,sering
sring,sering
studi,belajar
stuja,setuju
subo,pembohong
sue,sial
susa,susah
syntink,cantik
syok,kaget
tablo,bodoh
taek,tahi
tanco,bodoh
tanksin,malu
tansil,percuma
taon,tahun
tase,bermesraan
tbtb,tiba-tiba
tdr,tidur
temenan,berteman
tengkyu,terimakasih
tepos,pipih
tercyduk,tertangkap
tetep,tetap
tetiba,tiba-tiba
teye,terimakasih
tfl,terimakasih
tgh,tengah
thdp,terhadap
thun,tahun
tiati,hati - hati
tida,tidak
tillaco,bangsat
tipo,salah ketik
titidj,hati - hati
tk,tidak
tmn,teman
tnp,tanpa
tnpa,tanpa
tntng,tentang
tobat,taubat
tonjleng,habisi
traweh,teraweh
triak,teriak
trsbr,tersebar
trsngka,tersangka
tsb,tersebut
ttng,tentang
tu,itu
tubir,bertikai
tuing,tua
tuwir,tua
tuwo,tua
tv,televisi
twt,tweet
ucul,lucu
udh,sudah
ujir,uang
untk,untuk
usa,usah
utang,hutang
ver,versi
vroh,kawan
w,aku
wankano,nikah
wapak,alumni
wes,sudah
wlpun,walaupun
wlw,walau
wlwpn,walaupun
woless,santai
yanh,yang
kbodohan,kebodohan
luv,love
say,sayang
bsama,bersama
bsar,besar
bsok,esok
bth,butuh
buanget,sangat
bwh,bawah
bwah,bawah
cba,coba
clon,calon
cma,cuma
cw,wanita
cwe,wanita
dftr,daftar
dg,dengan
dl,dahulu
dpn,depan
dsb,dan sebagainya
dsini,disini
emgny,memangnya
emgnya,memangnya
emngnya,memangnya
emngny,memangnya
entar,nanti
jakpus,jakarta pusat
jleb,sakit
jngn,jangan
keadan,keadaan
kelaman,terlalu lama
kgt,terkejut
kmrin,kemarin
kyak,seperti
lngsng,langsung
masieh,masih
mksh,terimakasih
mngerjakan,mengerjakan
mngrjkan,mengerjakan
mnjd,menjadi
ngadepin,menghadapi
nyaris,hampir
php,pemberi harapan palsu
pingin,ingin
plng,pulang
qaqa,kakak
qaqq,kakak
rja,raja
salh,salah
slah,salah
sbnr,sebenar
sbnrnya,sebenarnya
scra,secara
sdah,sudah
sdngkan,sedangkan
sdngkn,sedangkan
sdrhna,sederhana
sudh,sudah
sderhana,sederhana
shbt,sahabat
shrhana,sederhana
shbtku,sahabatku
shbat,sahabat
slm,selama
sob,sahabat
takk,tidak
tgn,tangan
th,tahun
tidakkah,tidak kah
tidakkkk,tidak
tidaklah,tidak lah
tlh,telah
tlah,telah
tngh,tengah
tntg,tentang
trjn,terjun
tsbt,tersebut
zamn,zaman
zman,zaman
zmn,zaman
lpa,lupa
breng,bareng
mkan,makan
jt,juta
rb,ribu
donx,dong
ngaciir,kabur
nahh,nah
gank, kelompok
benar2,benar-benar
fb,facebook
emang,memang
mk,maka
tmsk,termasuk
tdak,tidak
rusax,rusak
rusaxx,rusak
krnnya,karenanya
gbu,tuhan memberkati
siapaa,siapa
dulunya,dahulu nya
bgmnpun,bagaimana pun
hambanya,hamba nya
dgan,dengan
statmen,pernyataan
moga,semoga
geplak,pukul
ngincer,membidik
mlalui,melalui
congrat,selamat
wagub,wakil gubernur
bp,bapak
masinga2,masing-masing
terinjakinjak,terinjak-injak
pakde,bapak
besarbesaran,besar-besaran
deg2an,khawatir
blanja,belanja
khann,kan
keciill,kecil
hrsnya,harusnya
slama,selama
dijdkan,dijadikan
blajarlah,belajarlah
gub,gubernur
tampa,tanpa
gmgm,bagaimana
smoga,semoga
wrga,warga
hti,hati
dkng,dukung
spnhnya,sepenuhnya
bhkan,bahkan
brpndpt,berpendapat
hestek,hashtag
kwatir,khawatir
uda,sudah
mudah2an,mudah-mudahan
lanjtkn,lanjutkan
mksih,terimakasih
tlg,tolong
nyampe,sampai
harusny,harusnya
mikirin,memikirkan
nyuruh,memerintahkan
sngt,sangat
jkrta,jakarta
ntah,entah
kasi,kasih
smngt,semangat
sangt,sangat
trbaik,terbaik
mmang,memang
sampean,kalian
krja,kerja
ktnya,katanya
hy,hanya
kedpnnya,kedepannya
nyengiir,senyum
pmbrntsan,pemberantasan
jgn2,jangan jangan
ssuai,sesuai
mmng,memang
lambt,lambat
prcyalah,percayalah
jmpa,jumpa
mreka,mereka
miara,memelihara
brani,berani
setress,stress
jng,jangan
kbnykn,kebanyakan
bntr,bentar
kjahatan,kejahatan
kmanusian,kemanusiaan
tmasuk,termasuk
pngamat,pengamat
mlanggar,melanggar
kakix,kaki
mdh,mudah
mnilai,menilai
sebenernya,sebenarnya
nangkep,menangkap
merka,mereka
nyanyi,menyanyi
maf,maaf
ngacir,kabur
scorupsi,korupsi
nengokin,menjenguk
cakar2an,berebutan
ndeso,kampungan
sendri,sendiri
mimpin,memimpin
nyinyirin,mengejek
nyinyir,mengejek
pleciden,presiden
dipake,dipakai
bergrak,bergerak
debatin,berdebat
hesteg,hashtag
ajieb,mantap
terdpt,terdapat
perhati,perhatikan
nasip,nasib
smkin,semakin
terdpan,terdepan
disgla,disegala
konektifitas,konektivitas
pngen,ingin
gx,tidak
mantap,keren
mlht,melihat
dimintain,dimintai
pakdhe,paman
kampreters,sialan
alhmdlilah,alhamdulillah
cebonge,sialan
jendral,jenderal
dy,dia
mesjid,masjid
survey,survei
surveynya,surveinya
akal2an,akal-akalan
pidio,video
baek2,baik baik
sdr,saudara
ats,atas
gerakn,gerakan
rejim,rezim
dolar,dollar
vs,versus
sebarin,menyebarkan
banga,bangga
greget,mantap
walo,walau
skecil,sekecil
ngasi,memberi
brpa,berapa
acuhksn,acuhkan
jkrt,jakarta
penghargan,penghargaan
namax,nama
tingi,tinggi
denger,dengar
adem,sejuk
ungul,unggul
ngumpulin,mengumpulkan
eleknya,jeleknya
elek,jelek
gumpulin,mengumpulkan
bmutu,bermutu
nyiyir,mengejek
marah2,marah marah
mngijinkan,mengizinkan
twiter,twitter
tingal,tinggal
go,ayo
ush,usah
mdh2an, semoga
sbnernya,sebenarnya
semngat,semangat
teman2,teman teman
kebijakan2,kebijakan kebijakan
mgapa,mengapa
daerh,daerah
ngecam,mengancam
satu2nya,satu satunya
bnyak,banyak
wjar,wajar
mbrikn,memberikan
cpy,copy
cnthnya,contohnya
mg,semoga
memafkan,memaafkan
sama2,sama sama
hadeuh,aduh
bener2,benar benar
mng,memang
omonganya,omongannya
bnr2,benar benar
anak2,anak anak
twet,tweet
ingris,inggris
sat,saat
tres,stres
ungun,unggun
angun,anggun
bodo,bodoh
coban,cobaan
menghampirin,menghampiri
tat,taat
mengabaikanya,mengabaikannya
ngedukung,mendukung
kbnykan,kebanyakan
siap2, siap siap
ngelunjak,ingin lebih
kepret,sialan
dijelek2kan,dijelekkan
dbthkn,dibutuhkan
dgr,dengar
omong,bicara
gangu,ganggu
ham,hak asasi manusia
langar,langgar
kenyatan,kenyataan
keok,kalah
gede,besar
awasin,mengawasi
omdo,bohong
kuak,ungkap
socmed,sosial media
kmpg,kampung
ngmng2,bicara
duit,uang
jamban,toilet
palak,merampas
hari2,hari hari
dibangain,dibanggakan
bangain,banggakan
kls,kelas
satpol,petugas
suai,sesuai
enyak,enak
termsk,termasuk
kluar,keluar
ngaco,salah
korbanya,korban nya
wjb,wajib
iming2,iming iming
ngancam,mengancam
dajal,setan
munafikun,munafik
berhub,berhubungan
cukong,mafia
london,inggris
pilgub,pemilihan gubernur
tai,feses
mlainkan,melainkan
ngeleskan,berbohong kah
kelemahanya,kelemahannya
tantangin,menantang
nantangin,menantang
mrasa,merasa
smkn,semakin
taiker,pendukung bodoh
taiker2nya,pendukung bodohnya
trmsk,termasuk
luh,anda
banga2kan,bangga banggakan
alah,allah
mmbri,memberi
mbri,memberi
kmngkinan,kemungkinan
keungulan,keunggulan
bkal,akan
dsar,dasar
dzolim,jahat
kedzoliman,kejahatan
isuin,mengisukan
disuin,diisukan
dmksd,dimakasud
mknya,oleh karena nya
pduk,produk
prduk,produk
gara2,akibat
dekat2,berdekatan
cape2,lelah
kumpulin,mengumpulkan
nyatax,nyata
brutal,kejam
spanjang,sepanjang
sjarah,sejarah
mgusur,menggusur
jelas2,dengan jelas
bui,penjara
brengsex,berengsek
wc,toilet
kelen,kalian
blowup,ungkap
rkyt,rakyat
ngomongnya,bicaranya
sgala,segala
btul,benar
enake,enaknya
udele,pusar
dewek,sendiri
rampog,rampok
kurangajar,sialan
piye,bagaimana
iki,ini
dkung,dukung
tekumpul,terkumpul
kerjan,kerjaan
apa2,apa apa
ngeri,takut
palagi,apalagi
inget,ingat
mengakuix,mengakui
pasal2,pasal pasal
tipu2,tertipu
pencitran,pencitraan
jkarta,jakarta
aseng,asing
kyknya,sepertinya
kao,kau
antek2,antek
sptnya,sepertinya
khilangan,kehilangan
cepat2,cepat cepat
rs,rumah sakit
dateng,datang
mrmajukan,memajukan
obat2,obat obat
bus2,bus bus
telh,telah
dibully,diejek
dizolimi,di zolimi
kultwit,kuliah tweet
mbah,kakek
mantapp,mantap
komen2,komentar
baru2,baru baru
sukur,syukur
sukur2,syukur syukur
calon2,calon calon
semangatt,semangat
kiai,ustadz
kiai2,ustadz
sempet2,sampat sampat
ngisih,mengisi
aje,aja
fitnahers,pemfitnah
mlawan,melawan
orang2,orang orang
smangat,semangat
sumut,sumatera utara
sumbar,sumatera barat
hurraayy,hore
direspon,di respon
tegass,tegas
ituu,itu
meberi,memberi
profil2,profil
nyengirr,ketawa
mendptkn,mendapatkan
ngetop,terkenal
kmdhan,kemudahan
mnjlnkan,menjalankan
cagub,calon gubernur
wapres,wakil presiden
capres,calon presiden
penghianat2,penghianat
dimakimaki,di ejek
gubeernur,gubernur
yess,yes
diagung2kan,diagungkan
sibiang,si biang
mmberi,memberi
lakilaki,pria
kecut,pengecut
tvnya,televisinya
proo,pro
pgagangan,pegangan
memaki2,memaki
kamfret,sialan
hajar,pukul
mv,move
alm,almarhum
apek,bau
aus,haus
bae,baik
bareng,bersama
ktpnya, kartu tanda penduduk nya
krj,kerja
sngai,sungai
ktor,kotor
bngt,sangat
brsih,bersih
sikt,sikat
ktp,kartu tanda penduduk
malumalu,malu malu
ultahnya,ulang tahun nya
kluargany,keluarganya
kerenn,keren
kito,kita
orgitu,orang itu
brdoa,berdoa
knakan,kenakan
mantaabb,keren
fbnya,facebook nya
mrpk,merupakan
jos,hebat
dibubarin,dibubuarkan
pikirin,fikirkan
drpda,dari pada
brkampanye,berkampanye
mbantu,membantu
lngsung,langsung
rkyat,rakyat
mbuthkan,membutuhkan
twtr,twitter
mndukung,mendukung
mngantung,menggantung
tungal,tunggal
alhamdulilah,alhamdulillah
frepot,freepot
adalh,adalah
mnrima,menerima
nyamok,nyamuk
via,melalui
tuit,tweet
trmasuk,termasuk
jangn,jangan
breakfast,sarapan
lucuk,lucu
ngebahas,membicarakan
menjdi,menjadi
menjalnkn,menjalankan
trbuka,terbuka
trjamin,terjamin
prbowo,prabowo
wranto,wiranto
smbil,sambil
jwabny,jawabn
krena,karena
ingetlah,ingatlah
nyelam,menyelam
nelor,bertelur
nanem,bertanam
cabek,cabai
klau,kalau
bkan,bukan
jnji,janji
smpai,sampai
hbis,habis
jbatan,jabatan
keilangan,kehilangan
mlh,malah
nyalonen,mencalonkan
efect,berpengaruh
begimana ,bagaimana
kampenye,kampanye
lbih,lebih
krg,kurang
dbawh,dibawah
nyalon,mencalonkan
blajar,belajar
pngalaman,pengalaman
empet,kesal
muke,muka
mendapingi,mendampingi
dnyatakan,dinyatakan
brslah,bersalah
pgadilan,pengadilan
jwban,jawaban
ngrobohin,merobohkan
nyelesain,menyelesaikan
penguna,pengguna
memble,payah
perush,perusuh
sbagian,sebagian
ngantore,ke kantor
jwaban,jawaban
ckup,cukup
calonin,calonkan
gilo,gila
brti,berarti
endonesa,indonesia
dijadin,dijadikan
anakny,anaknya
smpi,sampai
unk,untuk
bergitu,begitu
tl0nglah,tolonglah
slain,selain
ngeliatnya,melihatnya
mndng,lebih baik
dlam,dalam
nyebarin,menyebarkan
kewalik,terbalik
kepentigan,kepentingan
pjk,pajak
psangon,pesangon
amn,aman
terkndali,terkendali
bjuang,berjuang
spatu,sepatu
diturunin,diturunkan
tidor,tidur
bny,banyak
angap,anggap
bngst,bangsat
bangst,bangsat
bngsat,bangsat
tlol,bodoh
anjg,anjing
anjng,anjing
waria,banci
ricuh,anarkis
